1;2
h2o[c];ABCC1
5adtststeroneglc[c];ABCC1
h2o[c];SLC18A1
5htrp[c];SLC18A1
h2o[c];SLC18A2
5htrp[c];SLC18A2
h2o[c];SLC18A3
ach[c];SLC18A3
adrnl[c];SLC18A1
adrnl[c];SLC18A2
ahandrostanglc[c];ABCC1
andrstrnglc[c];ABCC1
h2o[c];SLC32A1
ala_B[c];SLC32A1
bildglcur[c];ABCC1
h2o[c];ABCC2
bildglcur[c];ABCC2
h2o[c];ABCC3
bildglcur[c];ABCC3
bilglcur[c];ABCC1
h2o[c];ATP2B1
ca2[c];ATP2B1
h2o[c];ATP2B2
ca2[c];ATP2B2
h2o[c];ATP2B3
ca2[c];ATP2B3
h2o[c];ATP2B4
ca2[c];ATP2B4
h2o[c];ABCB11
cholate[c];ABCB11
cholate[c];ABCC3
glu_L[c];SLC3A2
Lcystin[e];SLC3A2
glu_L[c];SLC7A11
Lcystin[e];SLC7A11
dopa[c];SLC18A1
dopa[c];SLC18A2
h2o[c];ABCC4
estradiolglc[c];ABCC4
estriolglc[c];ABCC1
estroneglc[c];ABCC3
na1[e];SLC27A1
hdca[e];SLC27A1
na1[e];SLC27A3
hdca[e];SLC27A3
na1[e];SLC27A4
hdca[e];SLC27A4
ocdcea[e];SLC27A1
ocdca[e];SLC27A1
na1[e];SLC27A5
arach[e];SLC27A5
arachd[e];SLC27A5
na1[e];SLC27A2
adrn[e];SLC27A2
adrn[e];SLC27A5
crvnc[e];SLC27A2
crvnc[e];SLC27A5
lgnc[e];SLC27A2
lgnc[e];SLC27A5
nrvnc[e];SLC27A2
nrvnc[e];SLC27A5
4abut[c];SLC32A1
h2o[c];SLC17A6
glu_L[c];SLC17A6
h2o[c];SLC17A7
glu_L[c];SLC17A7
h2o[c];SLC17A8
glu_L[c];SLC17A8
gly[c];SLC32A1
hista[c];SLC18A1
hista[c];SLC18A2
leu_L[c];SLC3A2
met_L[e];SLC3A2
leu_L[c];SLC7A5
met_L[e];SLC7A5
h[e];SLC4A10
hco3[c];SLC4A10
na1[c];SLC4A10
cl[e];SLC4A10
h[e];SLC4A8
hco3[c];SLC4A8
na1[c];SLC4A8
cl[e];SLC4A8
nh4[c];SLC9A1
na1[e];SLC9A1
nh4[c];SLC9A2
na1[e];SLC9A2
nh4[c];SLC9A3
na1[e];SLC9A3
h[c];RHAG
nh4[e];RHAG
h[c];RHBG
nh4[e];RHBG
nrpphr[c];SLC18A1
nrpphr[c];SLC18A2
h2o[c];ABCA1
