,symbol,hmdb_id,name
4,P2RY1,HMDB0000034,Adenine
6,SLCO1A2,HMDB0000036,Taurocholic acid
11,NR3C2,HMDB0000037,Aldosterone
13,SCNN1G,HMDB0000037,Aldosterone
14,GPER1,HMDB0000037,Aldosterone
18,NR3C1,HMDB0000037,Aldosterone
43,ADRB1,HMDB0000050,Adenosine
45,ADRB3,HMDB0000050,Adenosine
46,ADRB2,HMDB0000050,Adenosine
49,CXCR4,HMDB0000050,Adenosine
52,ADORA2A,HMDB0000050,Adenosine
54,ADORA1,HMDB0000050,Adenosine
56,P2RY1,HMDB0000050,Adenosine
57,ADORA2B,HMDB0000050,Adenosine
58,OXGR1,HMDB0000050,Adenosine
77,ABCC8,HMDB0000058,Cyclic AMP
80,TRPC3,HMDB0000058,Cyclic AMP
85,ADRB1,HMDB0000058,Cyclic AMP
91,KCNJ11,HMDB0000058,Cyclic AMP
94,TRPC6,HMDB0000058,Cyclic AMP
103,ADRB2,HMDB0000058,Cyclic AMP
118,TRPC5,HMDB0000058,Cyclic AMP
120,TRPV4,HMDB0000058,Cyclic AMP
128,CFTR,HMDB0000058,Cyclic AMP
141,NR3C1,HMDB0000063,Cortisol
143,MC2R,HMDB0000063,Cortisol
153,ABCA1,HMDB0000067,Cholesterol
157,ABCG1,HMDB0000067,Cholesterol
180,NPC1L1,HMDB0000067,Cholesterol
187,DRD3,HMDB0000073,Dopamine
189,DRD2,HMDB0000073,Dopamine
193,DRD5,HMDB0000073,Dopamine
195,GRIA1,HMDB0000073,Dopamine
196,TAAR1,HMDB0000073,Dopamine
197,SLC6A3,HMDB0000073,Dopamine
198,DRD4,HMDB0000073,Dopamine
205,ESR1,HMDB0000077,Dehydroepiandrosterone
215,KCNJ1,HMDB0000108,Ethanol
217,GRIN1,HMDB0000108,Ethanol
219,KCNJ9,HMDB0000108,Ethanol
221,HTR3A,HMDB0000108,Ethanol
225,KCNJ11,HMDB0000108,Ethanol
228,KCNJ14,HMDB0000108,Ethanol
229,KCNJ5,HMDB0000108,Ethanol
230,KCNJ15,HMDB0000108,Ethanol
231,KCNJ12,HMDB0000108,Ethanol
237,KCNJ4,HMDB0000108,Ethanol
241,KCNJ3,HMDB0000108,Ethanol
242,KCNJ16,HMDB0000108,Ethanol
252,KCNJ2,HMDB0000108,Ethanol
254,KCNJ8,HMDB0000108,Ethanol
255,KCNJ13,HMDB0000108,Ethanol
262,GABRA1,HMDB0000108,Ethanol
263,ITGAM,HMDB0000108,Ethanol
264,OPRM1,HMDB0000108,Ethanol
266,SLC29A1,HMDB0000108,Ethanol
267,GABRE,HMDB0000108,Ethanol
268,GABRA2,HMDB0000108,Ethanol
269,GABRA5,HMDB0000108,Ethanol
270,SLC2A4,HMDB0000108,Ethanol
273,GABRG1,HMDB0000108,Ethanol
275,GABRA6,HMDB0000108,Ethanol
276,SLC6A3,HMDB0000108,Ethanol
277,GABRA4,HMDB0000108,Ethanol
282,GABRR1,HMDB0000112,gamma-Aminobutyric acid
283,GABRG2,HMDB0000112,gamma-Aminobutyric acid
284,GABRR2,HMDB0000112,gamma-Aminobutyric acid
285,GABRD,HMDB0000112,gamma-Aminobutyric acid
286,GABBR1,HMDB0000112,gamma-Aminobutyric acid
288,GABRE,HMDB0000112,gamma-Aminobutyric acid
289,GABRA2,HMDB0000112,gamma-Aminobutyric acid
290,GABRA5,HMDB0000112,gamma-Aminobutyric acid
291,GABRB3,HMDB0000112,gamma-Aminobutyric acid
292,GABRB1,HMDB0000112,gamma-Aminobutyric acid
293,GABRG1,HMDB0000112,gamma-Aminobutyric acid
294,GABRB2,HMDB0000112,gamma-Aminobutyric acid
295,GABRA6,HMDB0000112,gamma-Aminobutyric acid
296,GABRP,HMDB0000112,gamma-Aminobutyric acid
297,GABRA4,HMDB0000112,gamma-Aminobutyric acid
298,GABBR2,HMDB0000112,gamma-Aminobutyric acid
299,GABRA1,HMDB0000112,gamma-Aminobutyric acid
306,GLRA1,HMDB0000123,Glycine
310,GLRA3,HMDB0000123,Glycine
311,GLRB,HMDB0000123,Glycine
313,GLRA2,HMDB0000123,Glycine
314,GRIN2A,HMDB0000123,Glycine
341,SLCO1B1,HMDB0000138,Glycocholic acid
343,ESR2,HMDB0000145,Estrone
346,ESR1,HMDB0000145,Estrone
348,SLC1A3,HMDB0000148,L-Glutamic acid
349,GRIK2,HMDB0000148,L-Glutamic acid
351,GRIK1,HMDB0000148,L-Glutamic acid
352,GRM2,HMDB0000148,L-Glutamic acid
355,GRIK3,HMDB0000148,L-Glutamic acid
356,GRIN1,HMDB0000148,L-Glutamic acid
357,GRM3,HMDB0000148,L-Glutamic acid
358,GRIN3A,HMDB0000148,L-Glutamic acid
359,GRM7,HMDB0000148,L-Glutamic acid
360,GRM8,HMDB0000148,L-Glutamic acid
361,GRIN2A,HMDB0000148,L-Glutamic acid
362,GRM5,HMDB0000148,L-Glutamic acid
363,GRIN2C,HMDB0000148,L-Glutamic acid
364,GRIA1,HMDB0000148,L-Glutamic acid
365,GRM1,HMDB0000148,L-Glutamic acid
366,GRIA4,HMDB0000148,L-Glutamic acid
367,GRIA2,HMDB0000148,L-Glutamic acid
368,GRIN2D,HMDB0000148,L-Glutamic acid
369,GRIN3B,HMDB0000148,L-Glutamic acid
370,GRM6,HMDB0000148,L-Glutamic acid
379,AR,HMDB0000151,Estradiol
387,ESR2,HMDB0000151,Estradiol
391,PGR,HMDB0000151,Estradiol
393,OXTR,HMDB0000151,Estradiol
403,GPER1,HMDB0000151,Estradiol
404,TNFRSF11B,HMDB0000151,Estradiol
406,EGFR,HMDB0000151,Estradiol
411,RARA,HMDB0000151,Estradiol
412,ABCG2,HMDB0000151,Estradiol
413,NR3C1,HMDB0000151,Estradiol
416,ESR1,HMDB0000151,Estradiol
417,ESRRA,HMDB0000151,Estradiol
432,ESR2,HMDB0000153,Estriol
433,ESR1,HMDB0000153,Estriol
442,FCER1A,HMDB0000169,D-Mannose
449,RHO,HMDB0000169,D-Mannose
