HMDB,a.mode,metabolite,Symbol,Uniprot,type(a),ProtName,pubchem,CellLoc,TissueLoc,BSLoc,metabolite_subclass,a.combined_score,a.experiment,a.database,a.prediction,a.textmining
"""HMDB0000538""","""binding""","""Adenosine triphosphate""","""NLRP1""","""uniprot:Q9C000""","""StitchMetaboliteReceptor""",null,5957,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Purine ribonucleotides""",927,0,0,900,296
"""HMDB0000131""","""binding""","""Glycerol""","""NLRP1""","""uniprot:Q9C000""","""StitchMetaboliteReceptor""",null,753,"[""Extracellular"", ""Mitochondria""]","[""Adipose Tissue"", ""Bladder"", ""Brain"", ""Epidermis"", ""Kidney"", ""Liver"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",800,0,800,0,0
"""HMDB0000895""","""activation""","""Acetylcholine""","""KCNA6""","""uniprot:P17658""","""NeuronchatMetaboliteReceptor""",null,187,"[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Quaternary ammonium salts""",null,null,null,null,null
"""HMDB0000895""","""activation""","""Acetylcholine""","""KCNA6""","""uniprot:P17658""","""CellphoneMetaboliteReceptor""",null,187,"[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Quaternary ammonium salts""",null,null,null,null,null
"""HMDB0000538""","""inhibition""","""Adenosine triphosphate""","""SCNN1A""","""uniprot:P37088""","""StitchMetaboliteReceptor""",null,5957,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Purine ribonucleotides""",977,0,0,900,786
"""HMDB0014859""","""inhibition""","""Procaine""","""CHRNA10""","""uniprot:Q9GZZ6""","""StitchMetaboliteReceptor""",null,4914,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Benzoic acids and derivatives""",800,0,0,800,0
"""HMDB0015292""","""inhibition""","""Chloroprocaine""","""CHRNA10""","""uniprot:Q9GZZ6""","""StitchMetaboliteReceptor""",null,8612,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Benzoic acids and derivatives""",800,0,0,800,0
"""HMDB0000895""","""activation""","""Acetylcholine""","""CHRNA10""","""uniprot:Q9GZZ6""","""NeuronchatMetaboliteReceptor""",null,187,"[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Quaternary ammonium salts""",null,null,null,null,null
"""HMDB0000273""","""binding""","""Thymidine""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,5789,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Pyrimidine 2'-deoxyribonucleosides""",205,0,205,0,0
"""HMDB0000975""","""binding""","""Trehalose""","""CXCR6""","""uniprot:O00574""","""StitchMetaboliteReceptor""",null,7427,"[""Extracellular""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
