,symbol,hmdb_id,name
5,NR3C2,HMDB0000016,Deoxycorticosterone
7,HTR2C,HMDB0000016,Deoxycorticosterone
8,HTR2B,HMDB0000016,Deoxycorticosterone
57,SLC5A6,HMDB0000030,Biotin
104,ACVR2B,HMDB0000034,Adenine
118,P2RY1,HMDB0000034,Adenine
120,SLCO1A2,HMDB0000036,Taurocholic acid
122,SLC10A5,HMDB0000036,Taurocholic acid
131,SLC10A7,HMDB0000036,Taurocholic acid
134,SLC10A6,HMDB0000036,Taurocholic acid
135,SLC10A4,HMDB0000036,Taurocholic acid
136,SLC10A3,HMDB0000036,Taurocholic acid
138,SLC10A2,HMDB0000036,Taurocholic acid
139,SLC10A1,HMDB0000036,Taurocholic acid
142,NR3C2,HMDB0000037,Aldosterone
144,SCNN1G,HMDB0000037,Aldosterone
145,GPER1,HMDB0000037,Aldosterone
149,NR3C1,HMDB0000037,Aldosterone
152,FFAR3,HMDB0000039,Butyric acid
156,FFAR2,HMDB0000039,Butyric acid
304,RET,HMDB0000045,Adenosine monophosphate
311,ATP7A,HMDB0000045,Adenosine monophosphate
364,P2RY2,HMDB0000045,Adenosine monophosphate
369,ADORA1,HMDB0000045,Adenosine monophosphate
468,ATP7B,HMDB0000045,Adenosine monophosphate
501,CXCR4,HMDB0000050,Adenosine
504,ADORA2A,HMDB0000050,Adenosine
506,ADORA1,HMDB0000050,Adenosine
508,P2RY1,HMDB0000050,Adenosine
509,ADORA2B,HMDB0000050,Adenosine
510,OXGR1,HMDB0000050,Adenosine
511,ADRB1,HMDB0000050,Adenosine
513,ADRB3,HMDB0000050,Adenosine
514,ADRB2,HMDB0000050,Adenosine
516,MC1R,HMDB0000050,Adenosine
517,CCR3,HMDB0000050,Adenosine
520,OPRM1,HMDB0000050,Adenosine
521,ADRA2C,HMDB0000050,Adenosine
523,LPAR2,HMDB0000050,Adenosine
526,DRD3,HMDB0000050,Adenosine
527,HRH2,HMDB0000050,Adenosine
529,CNR2,HMDB0000050,Adenosine
530,NPY4R,HMDB0000050,Adenosine
537,AGTR2,HMDB0000050,Adenosine
540,LPAR3,HMDB0000050,Adenosine
542,HTR1B,HMDB0000050,Adenosine
544,NPBWR2,HMDB0000050,Adenosine
545,CNR1,HMDB0000050,Adenosine
547,RXFP4,HMDB0000050,Adenosine
552,DRD2,HMDB0000050,Adenosine
553,NPY1R,HMDB0000050,Adenosine
555,HTR4,HMDB0000050,Adenosine
557,NPSR1,HMDB0000050,Adenosine
558,LPAR1,HMDB0000050,Adenosine
559,CCR9,HMDB0000050,Adenosine
560,SSTR2,HMDB0000050,Adenosine
561,PTGER3,HMDB0000050,Adenosine
562,RET,HMDB0000050,Adenosine
564,HRH3,HMDB0000050,Adenosine
568,NPY5R,HMDB0000050,Adenosine
570,AVPR2,HMDB0000050,Adenosine
571,HTR7,HMDB0000050,Adenosine
572,OPRL1,HMDB0000050,Adenosine
573,MC2R,HMDB0000050,Adenosine
574,CCR4,HMDB0000050,Adenosine
575,NPY2R,HMDB0000050,Adenosine
578,GALR2,HMDB0000050,Adenosine
579,RXFP3,HMDB0000050,Adenosine
581,HTR1F,HMDB0000050,Adenosine
582,MC5R,HMDB0000050,Adenosine
583,HTR1A,HMDB0000050,Adenosine
587,HTR1E,HMDB0000050,Adenosine
589,DRD5,HMDB0000050,Adenosine
590,NMUR1,HMDB0000050,Adenosine
591,CXCR6,HMDB0000050,Adenosine
593,PTGDR,HMDB0000050,Adenosine
595,PTGER4,HMDB0000050,Adenosine
597,MC4R,HMDB0000050,Adenosine
598,GALR1,HMDB0000050,Adenosine
600,CCR1,HMDB0000050,Adenosine
601,SSTR5,HMDB0000050,Adenosine
602,CCR5,HMDB0000050,Adenosine
603,PTGIR,HMDB0000050,Adenosine
604,HTR6,HMDB0000050,Adenosine
605,HTR5A,HMDB0000050,Adenosine
607,MCHR2,HMDB0000050,Adenosine
608,ADRA2A,HMDB0000050,Adenosine
609,TAAR1,HMDB0000050,Adenosine
610,ACKR3,HMDB0000050,Adenosine
611,SSTR1,HMDB0000050,Adenosine
612,OPRK1,HMDB0000050,Adenosine
622,APLNR,HMDB0000050,Adenosine
623,HRH4,HMDB0000050,Adenosine
624,NMUR2,HMDB0000050,Adenosine
625,SSTR4,HMDB0000050,Adenosine
626,GALR3,HMDB0000050,Adenosine
627,MCHR1,HMDB0000050,Adenosine
628,PTGER2,HMDB0000050,Adenosine
629,MC3R,HMDB0000050,Adenosine
630,OPRD1,HMDB0000050,Adenosine
633,BDKRB1,HMDB0000050,Adenosine
635,DRD4,HMDB0000050,Adenosine
642,AR,HMDB0000053,Androstenedione
661,ATP5F1C,HMDB0000056,beta-Alanine
664,ATP5F1A,HMDB0000056,beta-Alanine
666,ATP5F1B,HMDB0000056,beta-Alanine
679,ADRB1,HMDB0000058,Cyclic AMP
693,ADRB2,HMDB0000058,Cyclic AMP
713,CFTR,HMDB0000058,Cyclic AMP
765,NR3C1,HMDB0000063,Cortisol
767,MC2R,HMDB0000063,Cortisol
773,SLC6A8,HMDB0000064,Creatine
780,ABCA1,HMDB0000067,Cholesterol
784,ABCG1,HMDB0000067,Cholesterol
807,NPC1L1,HMDB0000067,Cholesterol
815,SLC6A5,HMDB0000067,Cholesterol
821,ATP1A4,HMDB0000067,Cholesterol
823,ATP1B1,HMDB0000067,Cholesterol
824,ATP1A2,HMDB0000067,Cholesterol
825,SLC6A9,HMDB0000067,Cholesterol
826,SLC6A12,HMDB0000067,Cholesterol
828,SLC6A20,HMDB0000067,Cholesterol
830,SLC6A13,HMDB0000067,Cholesterol
831,SLC6A16,HMDB0000067,Cholesterol
832,ATP4B,HMDB0000067,Cholesterol
833,SLC6A17,HMDB0000067,Cholesterol
834,SLC6A18,HMDB0000067,Cholesterol
838,SLC6A19,HMDB0000067,Cholesterol
842,ATP1A1,HMDB0000067,Cholesterol
843,FXYD2,HMDB0000067,Cholesterol
844,SLC6A1,HMDB0000067,Cholesterol
845,ATP1B3,HMDB0000067,Cholesterol
846,SLC6A3,HMDB0000067,Cholesterol
847,NPC1,HMDB0000067,Cholesterol
849,SLC6A15,HMDB0000067,Cholesterol
853,ATP4A,HMDB0000067,Cholesterol
854,SLC6A4,HMDB0000067,Cholesterol
855,RORA,HMDB0000067,Cholesterol
858,SLC6A11,HMDB0000067,Cholesterol
860,SLC6A8,HMDB0000067,Cholesterol
861,ATP1B2,HMDB0000067,Cholesterol
863,SLC6A7,HMDB0000067,Cholesterol
864,SLC6A2,HMDB0000067,Cholesterol
865,ATP12A,HMDB0000067,Cholesterol
868,ATP5F1C,HMDB0000070,Pipecolic acid
870,ATP5F1A,HMDB0000070,Pipecolic acid
871,ATP5F1B,HMDB0000070,Pipecolic acid
874,MC1R,HMDB0000073,Dopamine
876,CCR3,HMDB0000073,Dopamine
879,OPRM1,HMDB0000073,Dopamine
880,CXCR4,HMDB0000073,Dopamine
881,ADRA2C,HMDB0000073,Dopamine
882,LPAR2,HMDB0000073,Dopamine
884,HRH2,HMDB0000073,Dopamine
885,CNR2,HMDB0000073,Dopamine
886,NPY4R,HMDB0000073,Dopamine
888,AGTR2,HMDB0000073,Dopamine
890,LPAR3,HMDB0000073,Dopamine
891,HTR1B,HMDB0000073,Dopamine
892,NPBWR2,HMDB0000073,Dopamine
894,CNR1,HMDB0000073,Dopamine
895,ADRB1,HMDB0000073,Dopamine
896,RXFP4,HMDB0000073,Dopamine
897,NPY1R,HMDB0000073,Dopamine
898,HTR4,HMDB0000073,Dopamine
899,NPSR1,HMDB0000073,Dopamine
901,LPAR1,HMDB0000073,Dopamine
902,CCR9,HMDB0000073,Dopamine
903,SSTR2,HMDB0000073,Dopamine
904,PTGER3,HMDB0000073,Dopamine
905,ADRB3,HMDB0000073,Dopamine
906,HRH3,HMDB0000073,Dopamine
907,NPY5R,HMDB0000073,Dopamine
908,AVPR2,HMDB0000073,Dopamine
909,HTR7,HMDB0000073,Dopamine
912,OPRL1,HMDB0000073,Dopamine
913,ADORA2A,HMDB0000073,Dopamine
914,MC2R,HMDB0000073,Dopamine
915,CCR4,HMDB0000073,Dopamine
916,NPY2R,HMDB0000073,Dopamine
917,GALR2,HMDB0000073,Dopamine
918,RXFP3,HMDB0000073,Dopamine
920,HTR1F,HMDB0000073,Dopamine
921,MC5R,HMDB0000073,Dopamine
922,HTR1A,HMDB0000073,Dopamine
925,ADORA1,HMDB0000073,Dopamine
926,HTR1E,HMDB0000073,Dopamine
927,NMUR1,HMDB0000073,Dopamine
928,ADRB2,HMDB0000073,Dopamine
929,ADORA2B,HMDB0000073,Dopamine
930,CXCR6,HMDB0000073,Dopamine
931,PTGDR,HMDB0000073,Dopamine
932,PTGER4,HMDB0000073,Dopamine
933,MC4R,HMDB0000073,Dopamine
934,GALR1,HMDB0000073,Dopamine
936,CCR1,HMDB0000073,Dopamine
937,SSTR5,HMDB0000073,Dopamine
938,CCR5,HMDB0000073,Dopamine
939,PTGIR,HMDB0000073,Dopamine
940,HTR6,HMDB0000073,Dopamine
941,HTR5A,HMDB0000073,Dopamine
942,MCHR2,HMDB0000073,Dopamine
943,ADRA2A,HMDB0000073,Dopamine
944,ACKR3,HMDB0000073,Dopamine
946,SSTR1,HMDB0000073,Dopamine
947,OPRK1,HMDB0000073,Dopamine
949,SLC6A4,HMDB0000073,Dopamine
951,APLNR,HMDB0000073,Dopamine
952,HRH4,HMDB0000073,Dopamine
953,NMUR2,HMDB0000073,Dopamine
954,SSTR4,HMDB0000073,Dopamine
956,GALR3,HMDB0000073,Dopamine
957,MCHR1,HMDB0000073,Dopamine
958,PTGER2,HMDB0000073,Dopamine
959,MC3R,HMDB0000073,Dopamine
960,OPRD1,HMDB0000073,Dopamine
961,SLC6A2,HMDB0000073,Dopamine
962,BDKRB1,HMDB0000073,Dopamine
967,DRD3,HMDB0000073,Dopamine
969,DRD2,HMDB0000073,Dopamine
973,DRD5,HMDB0000073,Dopamine
975,GRIA1,HMDB0000073,Dopamine
976,TAAR1,HMDB0000073,Dopamine
977,SLC6A3,HMDB0000073,Dopamine
978,DRD4,HMDB0000073,Dopamine
982,ESR1,HMDB0000077,Dehydroepiandrosterone
1021,PTPRG,HMDB0000094,Citric acid
