,HMDB,Symbol,Direction,MetName,Transport,T_direction,Reversibility,DB
18524,HMDB0059655,PHGDH,producing,2-Hydroxyglutarate,unknown,unknown,irreversible,ReconProductionDegradation
21107,HMDB0006242,ALDH3A1,degrading,"3,4-Dihydroxymandelaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
21117,HMDB0000042,ALDH3A1,producing,Acetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21116,HMDB0001487,ALDH3A1,producing,NADH,unknown,unknown,irreversible,ReconProductionDegradation
21115,HMDB0000663,ALDH3A1,producing,Glucaric acid,unknown,unknown,irreversible,ReconProductionDegradation
21114,HMDB0002820,ALDH3A1,producing,Methylimidazoleacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21113,HMDB0006059,ALDH3A1,producing,20-Carboxy-leukotriene B4,unknown,unknown,reversible,ReconProductionDegradation
21112,HMDB0000115,ALDH3A1,producing,Glycolic acid,unknown,unknown,irreversible,ReconProductionDegradation
21111,HMDB0000190,ALDH3A1,producing,L-Lactic acid,unknown,unknown,irreversible,ReconProductionDegradation
21110,HMDB0042048,ALDH3A1,producing,Trichloroacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
21109,HMDB0003791,ALDH3A1,degrading,"3,4-Dihydroxyphenylacetaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
21108,HMDB0000217,ALDH3A1,degrading,NADP,unknown,unknown,reversible,ReconProductionDegradation
21106,HMDB0005175,ALDH3A1,degrading,Homovanillin,unknown,unknown,reversible,ReconProductionDegradation
21119,HMDB0001336,ALDH3A1,producing,"3,4-Dihydroxybenzeneacetic acid",unknown,unknown,reversible,ReconProductionDegradation
21105,HMDB0004061,ALDH3A1,degrading,3-Methoxy-4-hydroxyphenylglycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21104,HMDB0003767,ALDH3A1,degrading,4-Hydroxyphenylacetaldehyde,unknown,unknown,reversible,ReconProductionDegradation
21103,HMDB0000990,ALDH3A1,degrading,Acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21102,HMDB0006458,ALDH3A1,degrading,D-Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
21101,HMDB0004181,ALDH3A1,degrading,Methylimidazole acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation
