,symbol,hmdb_id,name
2,NR3C2,HMDB0000037,Aldosterone
14,ADORA2A,HMDB0000050,Adenosine
15,ADORA1,HMDB0000050,Adenosine
16,ADORA2B,HMDB0000050,Adenosine
17,SLC5A7,HMDB0000050,Adenosine
29,NR3C1,HMDB0000063,Cortisol
32,DRD3,HMDB0000073,Dopamine
33,DRD2,HMDB0000073,Dopamine
34,DRD5,HMDB0000073,Dopamine
35,TAAR1,HMDB0000073,Dopamine
36,SLC6A3,HMDB0000073,Dopamine
37,DRD4,HMDB0000073,Dopamine
45,KCNJ1,HMDB0000108,Ethanol
48,KCNJ9,HMDB0000108,Ethanol
51,KCNJ11,HMDB0000108,Ethanol
54,KCNJ14,HMDB0000108,Ethanol
55,KCNJ5,HMDB0000108,Ethanol
57,KCNJ15,HMDB0000108,Ethanol
58,KCNJ12,HMDB0000108,Ethanol
63,KCNJ4,HMDB0000108,Ethanol
65,KCNJ3,HMDB0000108,Ethanol
69,KCNJ16,HMDB0000108,Ethanol
77,KCNJ2,HMDB0000108,Ethanol
78,KCNJ8,HMDB0000108,Ethanol
79,KCNJ13,HMDB0000108,Ethanol
89,GABRR1,HMDB0000112,gamma-Aminobutyric acid
90,GABRG2,HMDB0000112,gamma-Aminobutyric acid
91,GABRR2,HMDB0000112,gamma-Aminobutyric acid
92,GABRD,HMDB0000112,gamma-Aminobutyric acid
93,GABBR1,HMDB0000112,gamma-Aminobutyric acid
94,GABRE,HMDB0000112,gamma-Aminobutyric acid
95,GABRA2,HMDB0000112,gamma-Aminobutyric acid
96,GABRA5,HMDB0000112,gamma-Aminobutyric acid
97,GABRB3,HMDB0000112,gamma-Aminobutyric acid
98,GABRB1,HMDB0000112,gamma-Aminobutyric acid
99,GABRG1,HMDB0000112,gamma-Aminobutyric acid
100,GABRB2,HMDB0000112,gamma-Aminobutyric acid
101,GABRA6,HMDB0000112,gamma-Aminobutyric acid
102,GABRP,HMDB0000112,gamma-Aminobutyric acid
103,GABRA4,HMDB0000112,gamma-Aminobutyric acid
104,GABBR2,HMDB0000112,gamma-Aminobutyric acid
105,GABRA1,HMDB0000112,gamma-Aminobutyric acid
110,GRIN2A,HMDB0000123,Glycine
125,ESR2,HMDB0000145,Estrone
126,ESR1,HMDB0000145,Estrone
127,GRIK2,HMDB0000148,L-Glutamic acid
128,GRIK1,HMDB0000148,L-Glutamic acid
129,GRM2,HMDB0000148,L-Glutamic acid
130,GRIK3,HMDB0000148,L-Glutamic acid
131,GRIN1,HMDB0000148,L-Glutamic acid
132,GRM3,HMDB0000148,L-Glutamic acid
133,GRIN3A,HMDB0000148,L-Glutamic acid
134,GRM7,HMDB0000148,L-Glutamic acid
135,GRM8,HMDB0000148,L-Glutamic acid
136,GRIN2A,HMDB0000148,L-Glutamic acid
137,GRM5,HMDB0000148,L-Glutamic acid
138,GRIN2C,HMDB0000148,L-Glutamic acid
139,GRIA1,HMDB0000148,L-Glutamic acid
140,GRM1,HMDB0000148,L-Glutamic acid
141,GRIA4,HMDB0000148,L-Glutamic acid
142,GRIA2,HMDB0000148,L-Glutamic acid
143,GRIN2D,HMDB0000148,L-Glutamic acid
144,GRIN3B,HMDB0000148,L-Glutamic acid
145,GRM6,HMDB0000148,L-Glutamic acid
148,AR,HMDB0000151,Estradiol
149,ESR2,HMDB0000151,Estradiol
150,NR1I2,HMDB0000151,Estradiol
151,PGR,HMDB0000151,Estradiol
152,GPER1,HMDB0000151,Estradiol
153,RARA,HMDB0000151,Estradiol
154,NR3C1,HMDB0000151,Estradiol
155,ESR1,HMDB0000151,Estradiol
156,ESRRA,HMDB0000151,Estradiol
159,SLC22A3,HMDB0000151,Estradiol
161,ESR2,HMDB0000153,Estriol
162,ESR1,HMDB0000153,Estriol
167,FCER1A,HMDB0000169,D-Mannose
174,RHO,HMDB0000169,D-Mannose
188,GRIK2,HMDB0000191,L-Aspartic acid
189,GRIK1,HMDB0000191,L-Aspartic acid
190,GRIK3,HMDB0000191,L-Aspartic acid
191,GRIN1,HMDB0000191,L-Aspartic acid
192,GRIN3A,HMDB0000191,L-Aspartic acid
193,GRIN2A,HMDB0000191,L-Aspartic acid
194,GRIN2C,HMDB0000191,L-Aspartic acid
195,GRIA1,HMDB0000191,L-Aspartic acid
196,GRIA4,HMDB0000191,L-Aspartic acid
197,GRIA2,HMDB0000191,L-Aspartic acid
198,GRIN2D,HMDB0000191,L-Aspartic acid
199,GRIN3B,HMDB0000191,L-Aspartic acid
202,ADRA2C,HMDB0000216,Norepinephrine
203,ADRA1A,HMDB0000216,Norepinephrine
204,ADRB1,HMDB0000216,Norepinephrine
205,ADRB3,HMDB0000216,Norepinephrine
206,ADRB2,HMDB0000216,Norepinephrine
207,ADRA2A,HMDB0000216,Norepinephrine
215,GPR139,HMDB0000220,Palmitic acid
216,GPR176,HMDB0000220,Palmitic acid
217,MC1R,HMDB0000220,Palmitic acid
218,CCR3,HMDB0000220,Palmitic acid
219,LTB4R2,HMDB0000220,Palmitic acid
220,OPRM1,HMDB0000220,Palmitic acid
221,TBXA2R,HMDB0000220,Palmitic acid
222,CXCR4,HMDB0000220,Palmitic acid
223,ADRA2C,HMDB0000220,Palmitic acid
224,GPR61,HMDB0000220,Palmitic acid
225,LPAR2,HMDB0000220,Palmitic acid
226,GPR135,HMDB0000220,Palmitic acid
227,QRFPR,HMDB0000220,Palmitic acid
228,DRD3,HMDB0000220,Palmitic acid
229,GPR78,HMDB0000220,Palmitic acid
230,GPR12,HMDB0000220,Palmitic acid
231,ADRA1A,HMDB0000220,Palmitic acid
232,GRPR,HMDB0000220,Palmitic acid
233,GPR150,HMDB0000220,Palmitic acid
234,ADRA1D,HMDB0000220,Palmitic acid
235,HRH2,HMDB0000220,Palmitic acid
236,EDNRB,HMDB0000220,Palmitic acid
237,CNR2,HMDB0000220,Palmitic acid
238,NPY4R,HMDB0000220,Palmitic acid
239,GPR3,HMDB0000220,Palmitic acid
240,HCRTR1,HMDB0000220,Palmitic acid
241,OPN4,HMDB0000220,Palmitic acid
242,AGTR2,HMDB0000220,Palmitic acid
244,FFAR4,HMDB0000220,Palmitic acid
245,OPN5,HMDB0000220,Palmitic acid
246,HCRTR2,HMDB0000220,Palmitic acid
247,PTGFR,HMDB0000220,Palmitic acid
248,BRS3,HMDB0000220,Palmitic acid
249,LPAR3,HMDB0000220,Palmitic acid
250,NTSR1,HMDB0000220,Palmitic acid
251,OPN1LW,HMDB0000220,Palmitic acid
252,HTR1B,HMDB0000220,Palmitic acid
254,NPBWR2,HMDB0000220,Palmitic acid
255,CNR1,HMDB0000220,Palmitic acid
256,ADRB1,HMDB0000220,Palmitic acid
257,RXFP4,HMDB0000220,Palmitic acid
258,TAAR2,HMDB0000220,Palmitic acid
259,GPR52,HMDB0000220,Palmitic acid
261,GPR37L1,HMDB0000220,Palmitic acid
262,AVPR1B,HMDB0000220,Palmitic acid
263,OPN3,HMDB0000220,Palmitic acid
264,DRD2,HMDB0000220,Palmitic acid
265,NPY1R,HMDB0000220,Palmitic acid
266,HTR4,HMDB0000220,Palmitic acid
267,NPSR1,HMDB0000220,Palmitic acid
269,LPAR1,HMDB0000220,Palmitic acid
270,CCR9,HMDB0000220,Palmitic acid
271,SSTR2,HMDB0000220,Palmitic acid
272,PTGER3,HMDB0000220,Palmitic acid
273,ADRB3,HMDB0000220,Palmitic acid
274,HRH3,HMDB0000220,Palmitic acid
275,NPY5R,HMDB0000220,Palmitic acid
276,AVPR2,HMDB0000220,Palmitic acid
277,HTR7,HMDB0000220,Palmitic acid
279,OPRL1,HMDB0000220,Palmitic acid
280,ADORA2A,HMDB0000220,Palmitic acid
281,CCKBR,HMDB0000220,Palmitic acid
282,GPR142,HMDB0000220,Palmitic acid
283,MC2R,HMDB0000220,Palmitic acid
284,GPR19,HMDB0000220,Palmitic acid
285,CCR4,HMDB0000220,Palmitic acid
286,NPY2R,HMDB0000220,Palmitic acid
287,GPR173,HMDB0000220,Palmitic acid
288,GALR2,HMDB0000220,Palmitic acid
289,RXFP3,HMDB0000220,Palmitic acid
290,GPR39,HMDB0000220,Palmitic acid
292,OXTR,HMDB0000220,Palmitic acid
293,UTS2R,HMDB0000220,Palmitic acid
294,HTR1F,HMDB0000220,Palmitic acid
295,GPR62,HMDB0000220,Palmitic acid
296,MC5R,HMDB0000220,Palmitic acid
297,HTR1A,HMDB0000220,Palmitic acid
